DATA_NAME,SORT,TRIAL,DURATION[ms]
10000/10000/0,radix,0,137
10000/10000/0,radix,1,96
10000/10000/0,radix,2,59
10000/10000/0,radix,3,52
10000/10000/0,radix,4,33
10000/10000/0,radix,5,39
10000/10000/0,radix,6,27
10000/10000/0,radix,7,47
10000/10000/0,radix,8,24
10000/10000/0,radix,9,31
10000/10000/0_almost,radix,0,24
10000/10000/0_almost,radix,1,24
10000/10000/0_almost,radix,2,22
10000/10000/0_almost,radix,3,29
10000/10000/0_almost,radix,4,22
10000/10000/0_almost,radix,5,13
10000/10000/0_almost,radix,6,20
10000/10000/0_almost,radix,7,28
10000/10000/0_almost,radix,8,55
10000/10000/0_almost,radix,9,27
10000/10000/1,radix,0,25
10000/10000/1,radix,1,20
10000/10000/1,radix,2,21
10000/10000/1,radix,3,19
10000/10000/1,radix,4,17
10000/10000/1,radix,5,18
10000/10000/1,radix,6,16
10000/10000/1,radix,7,13
10000/10000/1,radix,8,18
10000/10000/1,radix,9,18
10000/10000/1_almost,radix,0,22
10000/10000/1_almost,radix,1,14
10000/10000/1_almost,radix,2,14
10000/10000/1_almost,radix,3,17
10000/10000/1_almost,radix,4,15
10000/10000/1_almost,radix,5,13
10000/10000/1_almost,radix,6,17
10000/10000/1_almost,radix,7,19
10000/10000/1_almost,radix,8,15
10000/10000/1_almost,radix,9,18
10000/10000/2,radix,0,19
10000/10000/2,radix,1,15
10000/10000/2,radix,2,15
10000/10000/2,radix,3,14
10000/10000/2,radix,4,10
10000/10000/2,radix,5,11
10000/10000/2,radix,6,15
10000/10000/2,radix,7,24
10000/10000/2,radix,8,16
10000/10000/2,radix,9,20
10000/10000/2_almost,radix,0,15
10000/10000/2_almost,radix,1,10
10000/10000/2_almost,radix,2,13
10000/10000/2_almost,radix,3,12
10000/10000/2_almost,radix,4,14
10000/10000/2_almost,radix,5,13
10000/10000/2_almost,radix,6,10
10000/10000/2_almost,radix,7,16
10000/10000/2_almost,radix,8,14
10000/10000/2_almost,radix,9,14
10000/10000/3,radix,0,13
10000/10000/3,radix,1,16
10000/10000/3,radix,2,107
10000/10000/3,radix,3,37
10000/10000/3,radix,4,21
10000/10000/3,radix,5,19
10000/10000/3,radix,6,23
10000/10000/3,radix,7,17
10000/10000/3,radix,8,17
10000/10000/3,radix,9,17
10000/10000/3_almost,radix,0,16
10000/10000/3_almost,radix,1,14
10000/10000/3_almost,radix,2,22
10000/10000/3_almost,radix,3,16
10000/10000/3_almost,radix,4,19
10000/10000/3_almost,radix,5,16
10000/10000/3_almost,radix,6,16
10000/10000/3_almost,radix,7,17
10000/10000/3_almost,radix,8,16
10000/10000/3_almost,radix,9,15
10000/10000/4,radix,0,13
10000/10000/4,radix,1,18
10000/10000/4,radix,2,15
10000/10000/4,radix,3,14
10000/10000/4,radix,4,17
10000/10000/4,radix,5,17
10000/10000/4,radix,6,19
10000/10000/4,radix,7,17
10000/10000/4,radix,8,11
10000/10000/4,radix,9,16
10000/10000/4_almost,radix,0,16
10000/10000/4_almost,radix,1,15
10000/10000/4_almost,radix,2,15
10000/10000/4_almost,radix,3,16
10000/10000/4_almost,radix,4,16
10000/10000/4_almost,radix,5,12
10000/10000/4_almost,radix,6,11
10000/10000/4_almost,radix,7,14
10000/10000/4_almost,radix,8,16
10000/10000/4_almost,radix,9,15
50000/50000/0,radix,0,81
50000/50000/0,radix,1,76
50000/50000/0,radix,2,97
50000/50000/0,radix,3,166
50000/50000/0,radix,4,105
50000/50000/0,radix,5,119
50000/50000/0,radix,6,97
50000/50000/0,radix,7,102
50000/50000/0,radix,8,97
50000/50000/0,radix,9,129
50000/50000/0_almost,radix,0,113
50000/50000/0_almost,radix,1,131
50000/50000/0_almost,radix,2,124
50000/50000/0_almost,radix,3,141
50000/50000/0_almost,radix,4,117
50000/50000/0_almost,radix,5,108
50000/50000/0_almost,radix,6,102
50000/50000/0_almost,radix,7,78
50000/50000/0_almost,radix,8,72
50000/50000/0_almost,radix,9,87
50000/50000/1,radix,0,92
50000/50000/1,radix,1,134
50000/50000/1,radix,2,123
50000/50000/1,radix,3,88
50000/50000/1,radix,4,89
50000/50000/1,radix,5,84
50000/50000/1,radix,6,84
50000/50000/1,radix,7,79
50000/50000/1,radix,8,73
50000/50000/1,radix,9,75
50000/50000/1_almost,radix,0,105
50000/50000/1_almost,radix,1,106
50000/50000/1_almost,radix,2,122
50000/50000/1_almost,radix,3,118
50000/50000/1_almost,radix,4,90
50000/50000/1_almost,radix,5,94
50000/50000/1_almost,radix,6,76
50000/50000/1_almost,radix,7,73
50000/50000/1_almost,radix,8,71
50000/50000/1_almost,radix,9,93
50000/50000/2,radix,0,102
50000/50000/2,radix,1,201
50000/50000/2,radix,2,91
50000/50000/2,radix,3,96
50000/50000/2,radix,4,123
50000/50000/2,radix,5,98
50000/50000/2,radix,6,94
50000/50000/2,radix,7,86
50000/50000/2,radix,8,112
50000/50000/2,radix,9,120
50000/50000/2_almost,radix,0,110
50000/50000/2_almost,radix,1,118
50000/50000/2_almost,radix,2,115
50000/50000/2_almost,radix,3,90
50000/50000/2_almost,radix,4,86
50000/50000/2_almost,radix,5,72
50000/50000/2_almost,radix,6,77
50000/50000/2_almost,radix,7,105
50000/50000/2_almost,radix,8,78
50000/50000/2_almost,radix,9,95
50000/50000/3,radix,0,165
50000/50000/3,radix,1,111
50000/50000/3,radix,2,89
50000/50000/3,radix,3,96
50000/50000/3,radix,4,90
50000/50000/3,radix,5,84
50000/50000/3,radix,6,84
50000/50000/3,radix,7,99
50000/50000/3,radix,8,87
50000/50000/3,radix,9,89
50000/50000/3_almost,radix,0,83
50000/50000/3_almost,radix,1,91
50000/50000/3_almost,radix,2,96
50000/50000/3_almost,radix,3,72
50000/50000/3_almost,radix,4,86
50000/50000/3_almost,radix,5,73
50000/50000/3_almost,radix,6,74
50000/50000/3_almost,radix,7,98
50000/50000/3_almost,radix,8,97
50000/50000/3_almost,radix,9,217
50000/50000/4,radix,0,115
50000/50000/4,radix,1,102
50000/50000/4,radix,2,73
50000/50000/4,radix,3,84
50000/50000/4,radix,4,97
50000/50000/4,radix,5,97
50000/50000/4,radix,6,87
50000/50000/4,radix,7,101
50000/50000/4,radix,8,114
50000/50000/4,radix,9,118
50000/50000/4_almost,radix,0,108
50000/50000/4_almost,radix,1,121
50000/50000/4_almost,radix,2,116
50000/50000/4_almost,radix,3,88
50000/50000/4_almost,radix,4,88
